country,total_cases,total_deaths,total_recovered,active_cases,total_tests_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,country_id,_id
Gambia,12586,372,12189,25,4919,145,155686,60851,2558482,172,6390cb5c15cbcb0402af95ef
Saint Martin,12058,63,1399,10596,303499,1586,112382,2828643,39730,173,6390cb5c15cbcb0402af95f0
Greenland,11971,21,2761,9189,210117,369,164926,2894810,56973,174,6390cb5c15cbcb0402af95f1
Vanuatu,11952,14,11937,1,37137,44,24976,77606,321832,175,6390cb5c15cbcb0402af95f2
Yemen,11945,2159,9124,662,383,69,329592,10579,31154867,176,6390cb5c15cbcb0402af95f3
Caribbean Netherlands,11426,36,10476,914,428791,1351,30126,1130559,26647,177,6390cb5c15cbcb0402af95f4
Sint Maarten,10964,89,10873,2,249375,2024,62056,1411454,43966,178,6390cb5c15cbcb0402af95f5
Niger,9931,312,8890,729,381,12,254538,9759,26083660,179,6390cb5c15cbcb0402af95f6
Antigua and Barbuda,9106,146,8954,6,91509,1467,18901,189943,99509,180,6390cb5c15cbcb0402af95f7
Guinea-Bissau,8848,176,8642,30,4288,85,145231,70385,2063367,181,6390cb5c15cbcb0402af95f8
Liberia,8035,294,7720,21,1515,55,139824,26356,5305117,182,6390cb5c15cbcb0402af95f9
Chad,7647,194,4874,2579,439,11,191341,10988,17413580,183,6390cb5c15cbcb0402af95fa
St. Vincent Grenadines,7112,115,6641,356,63756,1031,100856,904125,111551,184,6390cb5c15cbcb0402af95fb
Saint Kitts and Nevis,6552,46,6482,24,121624,854,124861,2317778,53871,185,6390cb5c15cbcb0402af95fc
Turks and Caicos,6446,36,6392,18,162200,906,550241,13845676,39741,186,6390cb5c15cbcb0402af95fd
Cook Islands,6389,1,6384,4,363610,57,19690,1120596,17571,187,6390cb5c15cbcb0402af95fe
Sao Tome and Principe,6279,77,6201,1,27578,338,29036,127530,227679,188,6390cb5c15cbcb0402af95ff
Palau,5896,7,5699,190,323370,384,67675,3711677,18233,189,6390cb5c15cbcb0402af9600
Nauru,4621,1,4609,11,423828,92,20509,1881042,10903,190,6390cb5c15cbcb0402af9601
Anguilla,3904,12,3879,13,256336,788,51382,3373736,15230,191,6390cb5c15cbcb0402af9602
Saint Pierre Miquelon,3282,1,2449,832,569891,174,25242,4383053,5759,192,6390cb5c15cbcb0402af9603
Montserrat,1403,8,1376,19,282578,1611,17762,3577442,4965,193,6390cb5c15cbcb0402af9604
Macao,827,6,791,30,1239,9,7850,11760,667490,194,6390cb5c15cbcb0402af9605
Wallis and Futuna,761,7,438,316,69295,637,20508,1867419,10982,195,6390cb5c15cbcb0402af9606
